unique.id,site,plot,sampling.period,latitude,longitude,species,dbh,elevation,slope,aspect,notes
scbi-7-prelim-1,scbi,7,prelim-1,-78.141808,38.894318,RO,53,335.519989,11.7519999,267.0910034,
scbi-8-prelim-1,scbi,8,prelim-1,-78.14138,38.893997,TP,70.5,342.2200012,7.3540001,282.3070068,
scbi-9-prelim-1,scbi,9,prelim-1,-78.142258,38.89349,RO,57.5,327.230011,10.1929998,206.4629974,
scbi-10-prelim-1,scbi,10,prelim-1,-78.141991,38.893127,HI,51,328.4500122,14.2089996,278.7099915,
scbi-11-prelim-1,scbi,11,prelim-1,-78.141289,38.893234,HI,59,334.4899902,10.4350004,180.0019989,
scbi-12-prelim-1,scbi,12,prelim-1,-78.140533,38.893082,TP,77.8,335.6499939,17.8600006,281.8139954,
scbi-13-prelim-1,scbi,13,prelim-1,-78.139908,38.893185,HI,41.3,346.9299927,9.7910004,284.1140137,
scbi-14-prelim-1,scbi,14,prelim-1,-78.140892,38.892635,HI,46.5,331.8800049,12.3319998,267.9970093,
scbi-15-prelim-1,scbi,15,prelim-1,-78.141266,38.892303,TP,63.9,322.730011,18.2110004,211.8529968,
scbi-16-prelim-1,scbi,16,prelim-1,-78.141594,38.891888,TP,83.9,322.3399963,16.0279999,25.302,
scbi-17-prelim-1,scbi,17,prelim-1,-78.141617,38.89146,TP,65.4,335.5499878,17.0470009,14.3439999,
scbi-18-prelim-1,scbi,18,prelim-1,-78.142609,38.891151,TP,87,337.7900085,5.0159998,318.5910034,
scbi-19-prelim-1,scbi,19,prelim-1,-78.137611,38.891972,RO,53.3,379.25,13.849,274.7489929,
scbi-20-prelim-1,scbi,20,prelim-1,-78.138039,38.892101,RO,57.9,367.8500061,21.9009991,291.9909973,
scbi-21-prelim-1,scbi,21,prelim-1,-78.137527,38.892567,TP,113,380.0799866,12.934,240.0740051,
scbi-22-prelim-1,scbi,22,prelim-1,-78.138275,38.892891,HI,28.4,371.3399963,13.0489998,213.9109955,
scbi-23-prelim-1,scbi,23,prelim-1,-78.13831664,38.89336182,HI,33.5,375.5799866,7.526,238.5079956,
scbi-24-prelim-1,scbi,24,prelim-1,-78.138069,38.893475,RO,31.1,380.3699951,11.7810001,297.9110107,
scbi-25-prelim-1,scbi,25,prelim-1,-78.137772,38.893536,TP,65.4,388.0299988,28.7180004,273.3720093,
scbi-26-prelim-1,scbi,26,prelim-1,-78.136505,38.893047,TP,79.3,405.2099915,10.0979996,267.3649902,
scbi-27-prelim-1,scbi,27,prelim-1,-78.137184,38.893028,RO,119.8,391.9200134,11.184,243.9579926,
scbi-28-prelim-1,scbi,28,prelim-1,-78.135719,38.893124,HI,22.6,418,7.6900001,272.8900146,
scbi-29-prelim-1,scbi,29,prelim-1,-78.135345,38.893311,HI,65.2,422.4299927,8.868,319.4089966,
scbi-30-prelim-1,scbi,30,prelim-1,-78.135475,38.893589,RO,60.5,416.9599915,8.5679998,2.1210001,
scbi-31-prelim-1,scbi,31,prelim-1,-78.135841,38.893951,TP,92.5,409.7200012,13.7679996,5.5310001,
scbi-32-prelim-1,scbi,32,prelim-1,-78.139809,38.896564,HI,77,367.4599915,10.4709997,237.647995,
scbi-33-prelim-1,scbi,33,prelim-1,-78.139648,38.896042,TP,83.2,363.769989,3.286,219.7109985,
scbi-34-prelim-1,scbi,34,prelim-1,-78.140114,38.896278,HI,57.5,363.2399902,10.2840004,234.1569977,
scbi-35-prelim-1,scbi,35,prelim-1,-78.140694,38.896008,RO,118.2,350.5299988,8.3559999,231.529007,
scbi-36-prelim-1,scbi,36,prelim-1,-78.140884,38.896393,RO,66.7,348.1499939,10.908,247.4109955,
scbi-37-prelim-1,scbi,37,prelim-1,-78.141159,38.896481,HI,86,346.8800049,14.467,199.8549957,
scbi-38-prelim-1,scbi,38,prelim-1,-78.141647,38.896156,RO,65.8,337.1900024,14.8280001,171.0390015,
scbi-39-prelim-1,scbi,39,prelim-1,-78.142441,38.896145,RO,58.2,336,12.0760002,191.7640076,
scbi-40-prelim-1,scbi,40,prelim-1,-78.142799,38.896095,HI,20.7,332.7900085,10.7320004,194.3399963,
scbi-41-prelim-1,scbi,41,prelim-1,-78.142303,38.895416,TP,66.6,322.4899902,10.349,231.8549957,
scbi-42-prelim-1,scbi,42,prelim-1,-78.142113,38.89526,RO,88.6,326.3500061,15.8590002,292.7789917,
scbi-43-prelim-1,scbi,43,prelim-1,-78.142136,38.894981,RO,84.8,327.5499878,10.6309996,274.1549988,
scbi-44-prelim-1,scbi,44,prelim-1,-78.142242,38.894604,HI,25.3,327.8299866,8.6370001,281.9259949,
scbi-45-prelim-1,scbi,45,prelim-1,-78.142372,38.894474,RO,74.5,326.7399902,12.9300003,280.9179993,
scbi-46-prelim-1,scbi,46,prelim-1,-78.142677,38.894096,TP,51.4,324.0400085,13.5629997,250.8789978,
scbi-47-prelim-1,scbi,47,prelim-1,-78.142693,38.893547,HI,36.6,323.519989,8.7580004,232.8350067,
scbi-48-prelim-1,scbi,48,prelim-1,-78.140022,38.892796,TP,64.4,347.3599854,11.75,265.0960083,
scbi-49-prelim-1,scbi,49,prelim-1,-78.142403,38.893314,HI,48.7,323.4100037,10.5249996,166.2039948,
