variable,units,,,unique.id,notes
target.dry.mass,g,,,nsfms-A-1,had some weird thing happen that I'm writing here
actual.fresh.mass,g,,,,
standard.co2,ppm,,,,
time.flushed,hh:mm:ss,,,,
time.sampled,hh:mm:ss,,,,
irga.integral,,,,,
times.sampled,,,,,
number.stds,,,,,
std.value.1,,,,,
std.value.2,,,,,
std.value.3,,,,,
std.value.4,,,,,
