plotID,Site,Plot,Species,DBH,Lat,Long,Elevation,Slope,Aspect
nsfms-HARV-11,HARV,11,WP,79.6,-72.170952,42.541584,352.6700134,9.2519999,128.423996
nsfms-HARV-12,HARV,12,RM,32.6,-72.171684,42.541607,360.5400085,9.1359997,173.2559967
nsfms-HARV-13,HARV,13,RO,59.4,-72.172249,42.541656,359.5299988,14.1719999,200.4069977
nsfms-HARV-14,HARV,14,WP,86.8,-72.174568,42.542469,370.6400146,13.1070004,165.6360016
nsfms-HARV-15,HARV,15,RM,30,-72.174629,42.542515,373.7999878,8.5229998,228.9779968
nsfms-HARV-16,HARV,16,WP,99.6,-72.175072,42.542713,373.3299866,11.5769997,217.0619965
nsfms-HARV-17,HARV,17,WP,76.5,-72.175529,42.543041,373.6199951,15.743,233.6109924
nsfms-HARV-18,HARV,18,RO,46.5,-72.176186,42.543297,361.9200134,11.1610003,251.9989929
nsfms-HARV-19,HARV,19,RM,56.5,-72.176102,42.543907,369.3500061,13.6339998,246.3670044
nsfms-HARV-20,HARV,20,WP,90.2,-72.1763,42.544144,368.0499878,9.059,208.1719971
nsfms-HARV-21,HARV,21,RO,46.1,-72.177208,42.544315,370.3399963,7.362,85.9329987
nsfms-HARV-22,HARV,22,RM,24.1,-72.177483,42.543961,375.3500061,17.9729996,94.3450012
nsfms-HARV-23,HARV,23,RO,29.3,-72.177711,42.543594,376.1600037,11.5749998,117.4169998
nsfms-HARV-24,HARV,24,RM,30.2,-72.177643,42.543083,368.7099915,18.6189995,123.5339966
nsfms-HARV-25,HARV,25,RO,43.6,-72.17746,42.542763,360.7600098,15.7720003,82.6829987
nsfms-HARV-26,HARV,26,RM,19.8,-72.177467,42.542126,356.5799866,7.494,127.5400009
nsfms-HARV-27,HARV,27,RO,35.5,-72.178078,42.541801,363.4299927,9.177,77.5910034
nsfms-HARV-28,HARV,28,WP,42,-72.17852,42.541233,358.4100037,6.388,185.0529938
nsfms-HARV-29,HARV,29,RM,32.2,-72.179253,42.541321,367.4400024,2.5969999,31.9829998
nsfms-HARV-30,HARV,30,RO,23.6,-72.179939,42.541164,370.4599915,12.1520004,149.1490021
nsfms-HARV-31,HARV,31,WP,64.7,-72.181335,42.541046,374.9100037,10.2220001,166.0140076
nsfms-HARV-32,HARV,32,RO,31.2,-72.182236,42.540459,378.6600037,13.2080002,115.5940018
nsfms-HARV-33,HARV,33,RM,17.7,-72.181526,42.539955,366.019989,9.8009996,127.0250015
nsfms-HARV-34,HARV,34,RM,26.2,-72.181541,42.539688,364.2999878,7.7610002,154.0099945
nsfms-HARV-35,HARV,35,WP,68.1,-72.18148,42.539303,361.2099915,7.5560002,108.0559998
nsfms-HARV-36,HARV,36,RM,23.5,-72.181564,42.538696,357.9500122,3.1600001,20.1650009
nsfms-HARV-37,HARV,37,RM,44.2,-72.18161,42.538429,357.6700134,1.531,47.1049995
nsfms-HARV-38,HARV,38,WP,45.5,-72.181679,42.53788,357.5,1.466,304.3940125
nsfms-HARV-39,HARV,39,RM,30.1,-72.182007,42.537407,357.4100037,1.952,160.227005
nsfms-HARV-40,HARV,40,WP,49.9,-72.184265,42.536762,357.6499939,5.7930002,132.3269958
nsfms-HARV-41,HARV,41,RO,27.4,-72.185211,42.535995,358.7799988,5.125,153.5119934
nsfms-HARV-42,HARV,42,RO,37.5,-72.185295,42.534893,357.519989,2.605,228.970993
nsfms-HARV-43,HARV,43,WP,45.8,-72.184715,42.534431,356.9100037,6.2319999,225.6199951
nsfms-HARV-44,HARV,44,WP,67.5,-72.182251,42.53487,362.9200134,3.0050001,222.2189941
nsfms-HARV-45,HARV,45,RO,39.3,-72.180862,42.534264,363.9700012,3.4319999,334.9179993
nsfms-HARV-46,HARV,46,RO,43.5,-72.18045,42.533882,360.1600037,2.3440001,173.5690002
nsfms-HARV-47,HARV,47,RM,32,-72.179962,42.533409,358.1900024,7.9549999,212.6629944
nsfms-HARV-48,HARV,48,RO,55.7,-72.179085,42.53344,366.7999878,5.9499998,298.5780029
